GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
AEBP2,398.269454,0.317489185,0.184475624,1.721035974,0.085244296,0.446567777,OK
AEN,1416.326833,-0.258000577,0.132413365,-1.948448154,0.051361363,0.395836528,OK
AES,3405.949672,-0.147449861,0.122729202,-1.201424427,0.229586606,0.582378131,OK
AFAP1,1861.946902,0.026078197,0.120214338,0.216930841,0.828262242,0.936746497,OK
AFAP1-AS1,10.23797246,-0.957863038,0.693960681,-1.380284307,0.167499125,NaN,Low
AFAP1L1,202.9432649,-0.149778042,0.186608042,-0.802634442,0.422186055,0.726446026,OK
AFAP1L2,577.2827744,0.016124094,0.152426592,0.105782681,0.915754778,0.968059571,OK
AFDN,918.6835515,-0.073059646,0.128384631,-0.569068472,0.569309673,0.813348939,OK
AFDN-DT,1.948310747,-0.376220208,1.470182114,-0.255900412,0.798027737,NaN,Low
AFF1,802.5503196,-0.129432104,0.136712418,-0.946747234,0.343767595,0.670206507,OK
AFF1-AS1,21.11945626,0.055375963,0.47704064,0.116082276,0.907587335,0.965408398,OK
AFF2,0.104383032,0.255895622,4.080472857,0.062712247,0.949995645,NaN,Low
AFF3,0,NaN,NaN,NaN,NaN,NaN,Low
AFF4,1049.56238,0.065619136,0.184162642,0.35631079,0.721607829,0.893015462,OK
AFG1L,47.16274866,0.368760956,0.358510796,1.028590939,0.303671938,0.64357943,OK
AFG3L1P,379.551459,-0.215520781,0.172471884,-1.249599507,0.211445883,0.568854155,OK
AFG3L2,1197.954407,-0.03325277,0.121808415,-0.272992387,0.784859068,0.921635874,OK
AFM,0,NaN,NaN,NaN,NaN,NaN,Low
AFMID,249.4039856,0.031614488,0.194325148,0.162688608,0.870763617,0.953351829,OK
AFP,3.935021632,-0.264357357,1.052511091,-0.251168239,0.801684039,NaN,Low
AFTPH,770.1637456,0.277883003,0.172852317,1.607632501,0.10791569,0.471000679,OK
AGA,286.7140071,0.027236293,0.18837462,0.14458579,0.885037917,0.958155028,OK
AGAP1,890.7539763,-0.141790635,0.133386941,-1.063002375,0.287780874,0.633636483,OK
AGAP1-IT1,2.778747961,0.442307098,1.290684001,0.342692013,0.731830172,NaN,Low
AGAP11,3.000621783,1.234012226,1.404128958,0.878845365,0.379485126,NaN,Low
AGAP12P,44.34185735,-0.182108139,0.33727651,-0.539937215,0.589240332,0.82621439,OK
AGAP2,13.6761473,0.896883868,0.595727894,1.50552606,0.132188882,0.49593656,OK
AGAP2-AS1,637.9320935,-0.292327138,0.163277268,-1.790372549,0.07339404,0.429203243,OK
AGAP3,934.6474366,-0.266199029,0.152145289,-1.749637005,0.08018097,0.439070647,OK
AGAP4,136.1885057,-0.099830617,0.251831018,-0.396419064,0.691795905,0.878887709,OK
AGAP5,66.48312079,0.202199648,0.289111928,0.699381895,0.484313399,0.764900535,OK
AGAP6,248.8284051,-0.198815093,0.172872178,-1.150069923,0.250115073,0.601025785,OK
AGAP7P,14.66058449,-0.152627931,0.626507716,-0.243617001,0.80752746,0.930097812,OK
AGAP9,209.1635496,-0.273582965,0.180495142,-1.515735893,0.129586148,0.493078684,OK
AGBL1,0,NaN,NaN,NaN,NaN,NaN,Low
AGBL1-AS1,0,NaN,NaN,NaN,NaN,NaN,Low
AGBL2,25.25393455,0.317253347,0.432388318,0.733723216,0.463117446,0.75220574,OK
AGBL3,19.10544747,-0.311402838,0.537377318,-0.579486382,0.562261033,0.808900106,OK
AGBL4,0,NaN,NaN,NaN,NaN,NaN,Low
AGBL4-IT1,0,NaN,NaN,NaN,NaN,NaN,Low
AGBL5,814.654795,-0.100193773,0.149376162,-0.670748079,0.502381029,0.775257748,OK
AGBL5-AS1,0.462068984,1.944345676,3.26297447,0.595881364,0.551254484,NaN,Low
AGER,30.19222069,0.269306943,0.416841177,0.646066074,0.518236565,0.784703882,OK
AGFG1,2803.881551,0.227244819,0.127091826,1.788036456,0.073770126,0.429203243,OK
AGFG2,577.0005628,-0.110389232,0.149549924,-0.738143016,0.460427546,0.749810371,OK
AGGF1,818.5245517,0.356357911,0.155675993,2.289099972,0.022073544,0.326640472,OK
AGK,678.3280639,-0.05547504,0.165228385,-0.335747637,0.73706118,0.900319939,OK
AGL,286.4621231,0.152103827,0.203192672,0.748569451,0.45411675,0.746729195,OK
AGMAT,220.622349,0.031220571,0.177663351,0.175728822,0.860506991,0.949443714,OK
AGMO,38.38167075,0.571779918,0.397600075,1.438077994,0.150411926,0.514970803,OK
AGO1,424.4377127,-0.09516035,0.146553307,-0.649322433,0.516129989,0.783081875,OK
AGO2,1304.918061,-0.190074276,0.12589073,-1.509835367,0.131085438,0.494759399,OK
AGO3,113.6239681,-0.044181916,0.232881087,-0.189718783,0.849529502,0.945753135,OK
AGO4,194.4612846,0.049864984,0.186364755,0.2675666,0.789032943,0.922922458,OK
AGPAT1,706.2112677,-0.09186149,0.148782014,-0.617423351,0.536955524,0.795442057,OK
AGPAT2,1962.615745,-0.280161447,0.146886857,-1.907328219,0.056478098,0.405323544,OK
AGPAT3,1346.222644,-0.061378902,0.127314553,-0.482104368,0.629731807,0.847989003,OK
AGPAT4,154.4071973,-0.060757006,0.201643631,-0.301308829,0.763179009,0.912518494,OK
AGPAT4-IT1,6.974866418,0.03772709,0.805688436,0.046825905,0.962651982,NaN,Low
AGPAT5,1017.893888,0.057027704,0.14623239,0.389979974,0.696551356,0.880998058,OK
AGPS,1441.42354,0.32447708,0.172702953,1.87881605,0.060269615,0.410340634,OK
